Epoch	Time(sec)	Loss_train	AUC_train	AUC_dev	Prec_train	Prec_dev	Recall_train	Recall_dev	PR_AUC_dev	Test_eval
Fold 0:
9	648.35696	  1.69471	        0	  0.99405	        0	  0.96667	        0	  0.97922	  0.99429	  0.97998
10	661.63914	  1.27064	  0.99999	  0.99414	  0.99712	  0.96178	  0.99936	  0.98052	  0.99443	  0.97881
11	672.05437	  1.00498	        0	  0.99422	        0	  0.97165	        0	  0.97922	  0.99444	   0.9817
12	 682.5818	   0.7816	        0	  0.99425	        0	  0.97413	        0	  0.97792	  0.99446	   0.9821
13	693.02884	  0.71952	        0	  0.99429	        0	  0.97413	        0	  0.97792	   0.9945	  0.98211
14	 703.4972	  0.67172	        0	  0.99431	        0	  0.97416	        0	  0.97922	  0.99453	  0.98256
15	716.97286	  0.62706	      1.0	  0.99433	   0.9984	  0.97416	  0.99936	  0.97922	  0.99456	  0.98257
Fold 4:
0	730.30844	 122.0377	  0.99381	  0.98406	  0.95129	  0.92125	  0.96926	  0.95714	  0.98237	  0.95415
1	740.70772	 47.17382	        0	  0.99044	        0	  0.95887	        0	  0.96883	  0.98779	  0.97271
2	 751.0525	 32.77709	        0	  0.98842	        0	  0.96461	        0	  0.95584	  0.98572	  0.96963
3	761.43198	 34.72287	        0	  0.99041	        0	  0.92298	        0	  0.98052	  0.98896	  0.96464
4	771.75718	 19.22178	        0	  0.99218	        0	   0.9425	        0	  0.97922	  0.99169	   0.9713
5	785.09643	 13.26592	  0.99968	  0.99235	  0.98327	  0.95322	  0.99744	  0.97922	  0.99173	  0.97493
6	795.55157	  5.13471	        0	  0.99385	        0	  0.97659	        0	  0.97532	  0.99263	  0.98192
7	806.08941	  2.59049	        0	  0.99398	        0	  0.97659	        0	  0.97532	  0.99292	  0.98196
8	816.29748	  1.81155	        0	  0.99385	        0	  0.97789	        0	  0.97662	  0.99266	  0.98279
9	826.72338	  1.40949	        0	  0.99397	        0	  0.97789	        0	  0.97662	  0.99308	  0.98283
10	840.03752	  1.13181	  0.99999	  0.99409	  0.99968	  0.97789	  0.99936	  0.97662	  0.99339	  0.98287
11	849.97586	  0.79255	        0	  0.99406	        0	  0.97789	        0	  0.97662	  0.99336	  0.98286
12	859.91694	  0.76934	        0	  0.99407	        0	  0.97789	        0	  0.97662	  0.99341	  0.98286
13	870.00732	  0.74479	        0	  0.99409	        0	  0.97789	        0	  0.97662	  0.99343	  0.98287
14	880.08054	  0.71778	        0	  0.99411	        0	  0.97789	        0	  0.97662	   0.9935	  0.98288
15	 893.1537	  0.68883	      1.0	  0.99413	      1.0	  0.97789	  0.99968	  0.97662	  0.99353	  0.98288
